atr_stop_mult,atr_tp_mult,avg_r,best_r,ema_fast,ema_slow,expectancy_r,final_equity,max_drawdown,median_r,partial_tp_r_multiple,profit_factor,realized_pnl,return_pct,sharpe,total_pnl,trades,trail_activate_r_multiple,unrealized_pnl,win_rate,worst_r
1.0,2.0,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.2,,0,0
1.0,2.0,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.5,,0,0
1.0,2.0,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.2,,0,0
1.0,2.0,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.5,,0,0
1.0,2.5,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.2,,0,0
1.0,2.5,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.5,,0,0
1.0,2.5,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.2,,0,0
1.0,2.5,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.5,,0,0
1.5,2.0,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.2,,0,0
1.5,2.0,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.5,,0,0
1.5,2.0,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.2,,0,0
1.5,2.0,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.5,,0,0
1.5,2.5,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.2,,0,0
1.5,2.5,0,0,34,50,0,,0,0,0.8,0,,,0,0,0,1.5,,0,0
1.5,2.5,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.2,,0,0
1.5,2.5,0,0,34,50,0,,0,0,1.0,0,,,0,0,0,1.5,,0,0
1.0,2.0,0,0,34,89,0,,0,0,0.8,0,,,0,0,0,1.2,,0,0
1.0,2.0,0,0,34,89,0,,0,0,0.8,0,,,0,0,0,1.5,,0,0
1.0,2.0,0,0,34,89,0,,0,0,1.0,0,,,0,0,0,1.2,,0,0
